item_nr	datum	zeitstempel	thema	text	kw_type	kw_token	diskurs	fee	instantiation	frame	frame-url	annotation_sw
224	30-03-2022		Bundesarbeitsminister Heil fordert für ukrainische Flüchtlinge schnellen Zugang zum Arbeitsmarkt		"Sprachkurs; Integration"	"Sprachkursen; auf dem deutschen Arbeitsmarkt Fuß fassen"	Migration	Voraussetzungen		Voraussetzung_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=211	ps
225	02-12-2022		'Chancen-Aufenthaltsgesetz': Bundestag beschließt rechtliche Verbesserungen für Geduldete		"Integration; Deutsch; Berufstätigkeit"	"integriert; Sprachkenntnisse; Beruf"	Migration	Wenn		Voraussetzung_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=211	ps
226	02-12-2022		'Chancen-Aufenthaltsgesetz': Bundestag beschließt rechtliche Verbesserungen für Geduldete		"Integration; Deutsch"	"Voraussetzungen für ein Bleiberecht nachzuholen; Sprachkenntnisse"	Migration	Voraussetzungen		Voraussetzung_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=211	ps
227	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		"Migration; Kita; Sprache; Schule"	"unterschiedlichster Herkunft; frühkindlichen Bereich; Sprachförderung und -kompetenz; Schulen"	Bildung	Damit		Voraussetzung_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=211	ps
228	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		"Geflüchtete; Deutsch; Berufstätigkeit"	"Flüchtlingsvereins; sprechen und schreiben wie in der Muttersprache; Job"	Migration	brauche ich		Voraussetzung_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=211	ps
229	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		"Sprachkurs; Berufstätigkeit; Integration"	"Integrationskurs; integrieren; arbeiten"	Migration	Um arbeiten zu können		Voraussetzung_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=211	ps
230	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		"Integration; Arbeitsmarkt"	"Integration; Fachkräftemangel"	Migration	notwendig		Voraussetzung_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=211	ps
231	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		Schule	Unterrichtsausfall	Bildung	Lesen und Hörverstehen		Wahrnehmung	https://framenet-constructicon.hhu.de/framenet/frame?id=1169	ps
232	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		"Sprache; Kita"	"Sprachförderung und -kompetenz; frühkindlichen Bereich"	Bildung	hinschauen		Wahrnehmung_aktiv	https://framenet-constructicon.hhu.de/framenet/frame?id=1127	ps
233	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		Sprachkurs	Sprachkurs	Migration	warten		Warten	https://framenet-constructicon.hhu.de/framenet/frame?id=249	ps
234	17-10-2022		IQB-Bildungstrend: Viertklässler verschlechtern sich in Deutsch und Mathematik		Schule	Schülerschaft	Bildung	gehen [...] nach unten		Wertänderung_auf_Skala	https://framenet-constructicon.hhu.de/framenet/frame?id=1194	ps
235	09-12-2022		Kultusministerkonferenz empfiehlt intensivere Lernzeiten für Grundschulkinder		Schule	Grundschüler	Bildung	"Trend; hat zugenommen; zu erhöhen"		Wertänderung_auf_Skala	https://framenet-constructicon.hhu.de/framenet/frame?id=1194	ps
236	16-05-2023		Laut IGLU-Studie hat jeder vierte Viertklässler Schwäche beim Lesen		Schule	Schulen	Bildung	Entwicklung: negativ		Wertänderung_auf_Skala	https://framenet-constructicon.hhu.de/framenet/frame?id=1194	ps
237	05-12-2023		Deutsche Schüler schneiden bei internationaler Pisa-Studie so schlecht ab wie nie zuvor		"Schule; Migration"	"Schüler; zugewandert"	Bildung	Leistungsabfall		Wertänderung_auf_Skala	https://framenet-constructicon.hhu.de/framenet/frame?id=1194	ps
238	26-02-2023		Kanzler Scholz will Fachkräftemangel in Deutschland durch Zuwanderung aus Indien entschärfen		"Migration; Arbeitsmarkt"	"Rennen um junge Talente; Inderinnen und Inder"	Migration	Rennen [...] verlieren		Wettbewerbsausgang	https://framenet-constructicon.hhu.de/framenet/frame?id=1168	ps
239	07-09-2022		Ministerrunde und Wirtschaftsverbände beraten Maßnahmen gegen Fachkräftemangel		"Sprache; Ausbildung; Berufstätigkeit; Migration"	"Sprachkenntnisse; Ausbildung; Berufserfahrung; ausländische"	Migration	Dabei zählen		Wichtigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1040	ps
240	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		"Sprache; Kita"	"Sprachförderung und -kompetenz; frühkindlichen Bereich"	Bildung	Wichtig		Wichtigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1040	ps
241	02-12-2022		'Chancen-Aufenthaltsgesetz': Bundestag beschließt rechtliche Verbesserungen für Geduldete		Integration	integriert	Migration	dauerhaften Aufenthalt		Wohnsitz	https://framenet-constructicon.hhu.de/framenet/frame?id=448	ps
242	05-12-2023		Deutsche Schüler schneiden bei internationaler Pisa-Studie so schlecht ab wie nie zuvor		Schule	Schüler*innen	Bildung	zielgerichtet		Zielen	https://framenet-constructicon.hhu.de/framenet/frame?id=432	ps
243	04-05-2023		Deutschland will sozial benachteiligte Kinder stärker fördern		Schule	Schüler	Bildung	Bildungsweg		Zurückgelegter_Weg	https://framenet-constructicon.hhu.de/framenet/frame?id=273	ps
244	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		"Ausbildung; Migration"	"weiterzubilden; In Deutschland"	Migration	gehen		Zurückgelegter_Weg	https://framenet-constructicon.hhu.de/framenet/frame?id=273	ps
245	05-12-2023		Deutsche Schüler schneiden bei internationaler Pisa-Studie so schlecht ab wie nie zuvor		Schule	Mathematik	Bildung	Seit Jahren [...] am Ende		Zurückgelegter_Weg	https://framenet-constructicon.hhu.de/framenet/frame?id=273	ps
246	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		Berufstätigkeit	Job	Migration	Ziel		Zurückgelegter_Weg	https://framenet-constructicon.hhu.de/framenet/frame?id=273	ps
247	12-09-2023		Wachsende Schere bei beruflicher Bildung laut OECD-Studie		Ausbildung	Ausbildung	Bildung	auf der Strecke bleiben		Zurücklassen	https://framenet-constructicon.hhu.de/framenet/frame?id=510	ps
248	16-05-2023		Laut IGLU-Studie hat jeder vierte Viertklässler Schwäche beim Lesen		Schule	Schulen	Bildung	Startbedingen		Zustand_einer_Entität	https://framenet-constructicon.hhu.de/framenet/frame?id=281	ps
249	11-10-2022		Probleme bei Versorgung von Geflüchteten mit Sprachunterricht und Kitaplätzen		"Sprachkurs; Kita"	"Sprachunterricht; Kitaplätzen"	Migration	Probleme		Zwangslage	https://framenet-constructicon.hhu.de/framenet/frame?id=921	ps
250	09-12-2022		Kultusministerkonferenz empfiehlt intensivere Lernzeiten für Grundschulkinder		"Arbeitsmarkt; Schule; Sprache"	"Schule; Arbeitsmarkt; andere Muttersprache"	Bildung	Problem		Zwangslage	https://framenet-constructicon.hhu.de/framenet/frame?id=921	ps
251	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		"Schule; Arbeitsmarkt; Deutsch"	"keinen Hauptschulabschluss; Arbeitsmarkt; Spracherwerb"	Migration	Problem		Zwangslage	https://framenet-constructicon.hhu.de/framenet/frame?id=921	ps
252	24-10-2024		Kreisen und Gemeinden fehlt es an Raum und Mitteln für angemessene Flüchtlingsunterkünfte und Integration		Geflüchtete	Flüchtlingsunterkunft	Migration	Versorgung		Versorgung	https://framenet-constructicon.hhu.de/framenet/frame?id=156	ps
253	24-10-2024		Kreisen und Gemeinden fehlt es an Raum und Mitteln für angemessene Flüchtlingsunterkünfte und Integration		Geflüchtete	Flüchtlingsunterkunft	Migration	Probleme		Zwangslage	https://framenet-constructicon.hhu.de/framenet/frame?id=921	ps
254	24-10-2024		Kreisen und Gemeinden fehlt es an Raum und Mitteln für angemessene Flüchtlingsunterkünfte und Integration		Geflüchtete	Geflüchtete	Migration	Geflüchtete		Flüchten	https://framenet-constructicon.hhu.de/framenet/frame?id=324	ps
255	24-10-2024		Kreisen und Gemeinden fehlt es an Raum und Mitteln für angemessene Flüchtlingsunterkünfte und Integration		Geflüchtete	Geflüchtete	Migration	Unterkunft		Unterkunft_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=446	ps
256	24-10-2024		Kreisen und Gemeinden fehlt es an Raum und Mitteln für angemessene Flüchtlingsunterkünfte und Integration		Geflüchtete	Geflüchtete	Migration	umgebaut		Bauen	https://framenet-constructicon.hhu.de/framenet/frame?id=724	ps
257	24-10-2024		Kreisen und Gemeinden fehlt es an Raum und Mitteln für angemessene Flüchtlingsunterkünfte und Integration		Geflüchtete	Geflüchtete	Migration	Fremder		Vertrautheit	https://framenet-constructicon.hhu.de/framenet/frame?id=276	ps
258	24-10-2024		Kreisen und Gemeinden fehlt es an Raum und Mitteln für angemessene Flüchtlingsunterkünfte und Integration		Integration	Integration	Migration	gelingt so nicht		Erfolg_oder_Fehlschlag	https://framenet-constructicon.hhu.de/framenet/frame?id=178	ps
259	24-10-2024		Kreisen und Gemeinden fehlt es an Raum und Mitteln für angemessene Flüchtlingsunterkünfte und Integration		Geflüchtete	Geflüchtete	Migration	begleiten		Helfen	https://framenet-constructicon.hhu.de/framenet/frame?id=1024	ps
260	24-10-2024		Ministerpräsidenten und -präsidentinnen beraten zu Haushalts- und Asylpolitik		"Integration; Sprachkurs; Kita; Schule"	"Integrationsfähigkeit; Integrationskurse; Kindergärten; Schulen"	Migration	Integrationsfähigkeit		Umfassen	https://framenet-constructicon.hhu.de/framenet/frame?id=70	ps
261	24-10-2024		Kreisen und Gemeinden fehlt es an Raum und Mitteln für angemessene Flüchtlingsunterkünfte und Integration		Sprachkurs	Deutschkurse	Migration	Deutschkurse		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
262	24-10-2024		Kreisen und Gemeinden fehlt es an Raum und Mitteln für angemessene Flüchtlingsunterkünfte und Integration		"Geflüchtete; Integration"	"Geflüchtete; integrieren"	Migration	bedarf		Voraussetzung_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=211	ps
263	24-10-2024		Kreisen und Gemeinden fehlt es an Raum und Mitteln für angemessene Flüchtlingsunterkünfte und Integration		"Geflüchtete; Integration"	"Geflüchtete; integrieren"	Migration	Problematiken		Zwangslage	https://framenet-constructicon.hhu.de/framenet/frame?id=921	ps
264	06-11-2023		Ehrenamtliche Flüchtlingshelfer stehen vor Schwierigkeiten vor Ort		Geflüchtete	Geflüchtete	Migration	beobachtet		Wahrnehmung_aktiv	https://framenet-constructicon.hhu.de/framenet/frame?id=1127	ps
265	14-06-2022		Bundesinnenministerin Faeser und Arbeitsminister Heil besuchen Einrichtung für Flüchtlinge		"Arbeitsmarkt; Integration; Geflüchtete"	"Arbeitsmarkt; Integration; Geflüchtete"	Migration	Hilfe		Helfen	https://framenet-constructicon.hhu.de/framenet/frame?id=1024	ps
266	14-06-2022		Bundesinnenministerin Faeser und Arbeitsminister Heil besuchen Einrichtung für Flüchtlinge		Geflüchtete	Flüchtlingsverbände	Migration	kritisieren		Beurteilung_kommunizieren	https://framenet-constructicon.hhu.de/framenet/frame?id=578	ps
267	16-02-2023		Integration als Belastungsprobe für kleine Gemeinden		"Schule; Geflüchtete"	"Schüler; Flüchtlinge"	Migration	Flüchtlinge		Flüchten	https://framenet-constructicon.hhu.de/framenet/frame?id=324	ps
268	19-02-2023		Flüchtlinge aus Ukraine entlasten deutschen Arbeitsmarkt		Berufstätigkeit	beschäftigt	Migration	beschäftigt		Beschäftigen	https://framenet-constructicon.hhu.de/framenet/frame?id=952	ps
269	19-02-2023		Flüchtlinge aus Ukraine entlasten deutschen Arbeitsmarkt		Integration	Eingliederung	Migration	Hilfen		Helfen	https://framenet-constructicon.hhu.de/framenet/frame?id=1024	ps
270	19-02-2023		Flüchtlinge aus Ukraine entlasten deutschen Arbeitsmarkt		Sprachkurs	Sprachkursen	Migration	Sprachkursen		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
271	23-06-2023		Bundestag beschließt Erleichterung bei Fachkräfte-Zuwanderung		Geflüchtete	Ausreisepflichtige	Migration	Ausreisepflichtige		Verpflichtung_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=212	ps
272	26-02-2023		Kanzler Scholz will Fachkräftemangel in Deutschland durch Zuwanderung aus Indien entschärfen		Migration	Visum	Migration	Dokumente		Dokumente	https://framenet-constructicon.hhu.de/framenet/frame?id=1109	ps
273	26-02-2023		Kanzler Scholz will Fachkräftemangel in Deutschland durch Zuwanderung aus Indien entschärfen		Migration	Visum	Migration	erfordert		Voraussetzung_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=211	ps
274	19-02-2023		Flüchtlinge aus Ukraine entlasten deutschen Arbeitsmarkt		Geflüchtete	Flüchtlinge	Migration	Flüchtlinge		Flüchten	https://framenet-constructicon.hhu.de/framenet/frame?id=324	ps
275	14-06-2022		Bundesinnenministerin Faeser und Arbeitsminister Heil besuchen Einrichtung für Flüchtlinge		Geflüchtete	Geflüchteten	Migration	Geflüchteten		Flüchten	https://framenet-constructicon.hhu.de/framenet/frame?id=324	ps
276	06-11-2023		Ehrenamtliche Flüchtlingshelfer stehen vor Schwierigkeiten vor Ort		Geflüchtete	Geflüchtete	Migration	Geflüchtete		Flüchten	https://framenet-constructicon.hhu.de/framenet/frame?id=324	ps
277	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		"Sprachkurs; Deutsch"	"Sprachkurs; Deutschkenntnisse"	Migration	muss		Voraussetzung_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=211	ps
278	09-12-2022		Kultusministerkonferenz empfiehlt intensivere Lernzeiten für Grundschulkinder		"Schule; Sprache; Arbeitsmarkt"	"Schule; andere Muttersprache; Arbeitsmarkt"	Bildung	Abschluss		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
279	24-10-2024		Kreisen und Gemeinden fehlt es an Raum und Mitteln für angemessene Flüchtlingsunterkünfte und Integration		Geflüchtete	Flüchtlingsunterkunft	Migration	kümmern		Unterstützen	https://framenet-constructicon.hhu.de/framenet/frame?id=483	ps
280	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		"Schule; Deutsch; Migration"	"Schulen; Deutsch; eingewanderten"	Bildung	lernen		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
281	30-03-2022		Bundesarbeitsminister Heil fordert für ukrainische Flüchtlinge schnellen Zugang zum Arbeitsmarkt		Geflüchtete	Geflüchtete	Migration	Geflüchtete aus der Ukraine		Personen_nach_Herkunft	https://framenet-constructicon.hhu.de/framenet/frame?id=1214	ps
282	16-05-2023		Laut IGLU-Studie hat jeder vierte Viertklässler Schwäche beim Lesen		Schule	Schulen	Bildung	Unterricht		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
283	08-04-2022		Geflüchtete aus der Ukraine sollen staatliche Grundsicherung erhalten		Geflüchtete	Geflüchtete	Migration	anerkannte		Bewerten	https://framenet-constructicon.hhu.de/framenet/frame?id=1096	ps
284	25-04-2022		Gesellschaftsvertreter beraten über Perspektiven von ukrainischen Flüchtlingen in Deutschland		"Integration; Geflüchtete"	"integriert; Flüchtlinge"	Migration	Deutschland		Politische_Örtlichkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=472	ps
285	14-06-2022		Bundesinnenministerin Faeser und Arbeitsminister Heil besuchen Einrichtung für Flüchtlinge		Arbeitsmarkt	Arbeitsmarkt	Migration	sucht		Suchen	https://framenet-constructicon.hhu.de/framenet/frame?id=799	ps
286	07-09-2022		Ministerrunde und Wirtschaftsverbände beraten Maßnahmen gegen Fachkräftemangel		"Migration; Arbeitsmarkt"	"aus dem Ausland; Fachkräfte"	Migration	aus dem Ausland		Ausland_oder_Inland	https://framenet-constructicon.hhu.de/framenet/frame?id=208	ps
287	07-09-2022		Ministerrunde und Wirtschaftsverbände beraten Maßnahmen gegen Fachkräftemangel		"Migration; Arbeitsmarkt"	"aus dem Ausland; Fachkräfte"	Migration	erleichtern		Schwierigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1007	ps
288	07-09-2022		Ministerrunde und Wirtschaftsverbände beraten Maßnahmen gegen Fachkräftemangel		"Migration; Arbeitsmarkt"	"aus dem Ausland; Personalmangel"	Migration	Personalmangel		Knappheit	https://framenet-constructicon.hhu.de/framenet/frame?id=284	ps
289	02-12-2022		'Chancen-Aufenthaltsgesetz': Bundestag beschließt rechtliche Verbesserungen für Geduldete		"Integration; Deutsch"	"Voraussetzungen für ein Bleiberecht nachzuholen; Sprachkenntnisse"	Migration	Sprachkenntnisse		Kompetenz	https://framenet-constructicon.hhu.de/framenet/frame?id=163	ps
290	26-02-2023		Kanzler Scholz will Fachkräftemangel in Deutschland durch Zuwanderung aus Indien entschärfen		Migration	Rennen um junge Talente	Migration	Inder und Inderinnen		Personen_nach_Herkunft	https://framenet-constructicon.hhu.de/framenet/frame?id=1214	ps
291	26-02-2023		Kanzler Scholz will Fachkräftemangel in Deutschland durch Zuwanderung aus Indien entschärfen		Migration	Rennen um junge Talente	Migration	USA und Kanada		Politische_Örtlichkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=472	ps
292	11-10-2022		Probleme bei Versorgung von Geflüchteten mit Sprachunterricht und Kitaplätzen		Geflüchtete	Flüchtlingen	Migration	Flüchtlingen		Flüchten	https://framenet-constructicon.hhu.de/framenet/frame?id=324	ps
293	07-09-2022		Ministerrunde und Wirtschaftsverbände beraten Maßnahmen gegen Fachkräftemangel		"Ausbildung; Berufstätigkeit"	"Lehre; Geselle"	Migration	seine Lehre gemacht		Fachbereiche	https://framenet-constructicon.hhu.de/framenet/frame?id=155	ps
294	09-12-2022		Kultusministerkonferenz empfiehlt intensivere Lernzeiten für Grundschulkinder		"Schule; Sprache; Arbeitsmarkt"	"Schule; andere Muttersprache; Arbeitsmarkt"	Bildung	Abschluss		Erfolg_oder_Fehlschlag	https://framenet-constructicon.hhu.de/framenet/frame?id=178	ps
295	16-02-2023		Integration als Belastungsprobe für kleine Gemeinden		"Sprachkurs; Geflüchtete"	"Sprachkurs; Geflüchtete"	Migration	Sprachkurs		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
296	17-10-2022		IQB-Bildungstrend: Viertklässler verschlechtern sich in Deutsch und Mathematik		Schule	Schule	Bildung	Schule		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
297	26-08-2024		Schulstart in drei Bundesländern		"Schule; Geflüchtete"	"Schüler; Geflüchteten"	Bildung	Schüler		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
298	04-05-2023		Deutschland will sozial benachteiligte Kinder stärker fördern		"Schule; Migration"	"Abschluss; Migrationsanteil"	Bildung	Abschluss		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
299	24-10-2024		Kreisen und Gemeinden fehlt es an Raum und Mitteln für angemessene Flüchtlingsunterkünfte und Integration		"Integration; Sprachkurs"	"Integration; Deutschkurse"	Migration	Integration		Umfassen	https://framenet-constructicon.hhu.de/framenet/frame?id=70	ps
300	25-04-2022		Gesellschaftsvertreter beraten über Perspektiven von ukrainischen Flüchtlingen in Deutschland		"Geflüchtete; Schule; Integration"	"Flüchtlinge; Schulbildung; Integration"	Migration	Schulbildung		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
